ORG,OCCURENCE
MICROSOFT-CORP-MSN-AS-BLOCK,4.0
Yahoo! UK Services Limited,1.5
FACEBOOK,7.5
LLNW,0.5
LEVEL3,0.5
YAHOO-BCST-AC2,1.0
AMAZON-AES,0.5
YAHOO,1.0
