ORG,OCCURENCE
GOOGLE,8
Jisc Services Limited,-2
FACEBOOK,-12
AMAZON-02,-64
EDGECAST,2
MICROSOFT-CORP-MSN-AS-BLOCK,7
,0
OMNITURE,1
AMAZON-AES,15
