ORG,OCCURENCE
GOOGLE,1190
Virgin Media Limited,118
APPLE-ENGINEERING,15
,0
MICROSOFT-CORP-MSN-AS-BLOCK,35
FACEBOOK,18
CLOUDFLARENET,98
AMAZON-02,514
NETFLIX-ASN,-1
APPLE-AUSTIN,-5
Yahoo! UK Services Limited,277
EDGECAST,-162
AMAZON-AES,98
EBAY,-6
AKAMAI-AS,82
FASTLY,323
