ORG,OCCURENCE
GOOGLE,-109
Jisc Services Limited,-14
AMAZON-02,-1034
FACEBOOK,2
CLOUDFLARENET,-3
EDGECAST,-14
AKAMAI-AS,-13
TWITTER,-4
"SpotXchange, INC",-5
Netic A/S,1
AS-PUBMATIC,-14
RUBICONPROJECT,-7
AMAZON-AES,6
Adform A/S,0
COGENT-174,-4
ASN-APPNEX,0
,0
