ORG,IP,COUNTRY,CITY,OCCURENCES,LAT,LONG
AKAMAI-AS,195.95.193.244,United Kingdom,London,417,51.5095,-0.0955
FASTLY,199.232.58.206,United Kingdom,London,73,51.5016,-0.0149
APPLE-ENGINEERING,17.248.180.48,United Kingdom,Manchester,2,53.5058,-2.2209
APPLE-ENGINEERING,17.248.180.43,United Kingdom,Manchester,27,53.5058,-2.2209
EBAY,209.140.139.215,United Kingdom,Slough,11,51.4989,-0.5806
GOOGLE,172.217.169.45,United Kingdom,London,1,51.5095,-0.0955
CLOUDFLARENET,104.16.148.64,Canada,Toronto,4,43.6752,-79.3472
AMAZON-02,13.33.50.225,United Kingdom,Manchester,18,53.4809,-2.2374
AKAMAI-AS,195.95.193.127,United Kingdom,London,5,51.5095,-0.0955
AMAZON-02,52.18.143.40,Ireland,Dublin,38,53.406105,-6.229773
LEVEL3,8.253.248.241,United States,Monroe,1,32.528,-92.1104
CLOUDFLARENET,104.26.13.96,United States,San Francisco,48,37.7809,-122.4245
