ORG,IP,COUNTRY,CITY,OCCURENCES,LAT,LONG
AMAZON-02,13.224.81.118,United Kingdom,Manchester,17,53.4809,-2.2374
AKAMAI-AS,23.217.6.99,United Kingdom,Manchester,25,53.5058,-2.2209
EBAY,209.140.148.240,United States,San Jose,8,37.3313,-121.8401
Virgin Media Limited,194.168.4.100,United Kingdom,Waltham Abbey,5,51.6795,0.018
THM,185.32.241.65,Netherlands,Amsterdam,103,52.3759,4.8975
THM,91.235.132.129,Netherlands,Amsterdam,12,52.352,4.9392
CLOUDFLARENET,104.18.30.182,Canada,Toronto,9,43.7593,-79.5224
EBAY,209.140.129.66,United Kingdom,Slough,10,51.4989,-0.5806
GOOGLE,35.241.15.240,United States,Kansas City,13,39.1027,-94.5778
SUCURI-SEC,192.124.249.41,United States,Menifee,4,33.6647,-117.1743
EBAY,216.113.180.44,United States,San Jose,16,37.3388,-121.8916
GOOGLE,35.186.224.25,United States,Kansas City,9,39.1027,-94.5778
EDGECAST,93.184.220.29,United Kingdom,London,1,51.5095,-0.0955
APPLE-ENGINEERING,17.248.180.115,United Kingdom,Manchester,1,53.5058,-2.2209
FACEBOOK,157.240.225.60,United Kingdom,Manchester,1,53.5058,-2.2209
GOOGLE,35.186.224.47,United States,Kansas City,2,39.1027,-94.5778
MICROSOFT-CORP-MSN-AS-BLOCK,52.98.145.114,United Kingdom,London,1,51.5095,-0.0955
MICROSOFT-CORP-MSN-AS-BLOCK,52.113.195.132,United States,Emigrant Gap,1,39.2968,-120.673
MICROSOFT-CORP-MSN-AS-BLOCK,52.114.92.203,United Kingdom,Cardiff,1,51.521,-3.2037
GOOGLE,104.154.127.126,United States,Mountain View,1,37.4043,-122.0748
