ORG,IP,COUNTRY,CITY,OCCURENCES,LAT,LONG
EBAY,209.140.129.68,United Kingdom,Slough,2,51.5368,-0.6718
APPLE-ENGINEERING,17.252.62.5,United Kingdom,Manchester,2,53.5058,-2.2209
FACEBOOK,157.240.225.60,United Kingdom,Manchester,1,53.5058,-2.2209
APPLE-ENGINEERING,17.252.62.7,United Kingdom,Manchester,1,53.5058,-2.2209
AKAMAI-AS,195.95.193.244,United Kingdom,London,34,51.5095,-0.0955
EBAY,216.113.179.36,United States,San Jose,4,37.3313,-121.8401
Virgin Media Limited,194.168.4.100,United Kingdom,Waltham Abbey,3,51.6795,0.018
THM,185.32.241.65,Netherlands,Amsterdam,96,52.3759,4.8975
THM,91.235.132.129,Netherlands,Amsterdam,12,52.352,4.9392
CLOUDFLARENET,104.18.30.182,Canada,Toronto,5,43.7593,-79.5224
EBAY,209.140.129.82,United Kingdom,Slough,9,51.5368,-0.6718
APPLE-ENGINEERING,17.248.180.114,United Kingdom,Manchester,1,53.5058,-2.2209
GOOGLE,35.186.224.47,United States,Kansas City,2,39.1027,-94.5778
GOOGLE,35.186.224.25,United States,Kansas City,9,39.1027,-94.5778
GOOGLE,64.233.184.188,United States,Mountain View,2,37.3859,-122.0882
EDGECAST,93.184.220.29,United Kingdom,London,2,51.5095,-0.0955
SUCURI-SEC,192.124.249.23,United States,Menifee,4,33.6647,-117.1743
