ORG,OCCURENCE
GOOGLE,-97
,0
AKAMAI-AS,-3
EDGECAST,-8
"SpotXchange, INC",-6
CLOUDFLARENET,-2
AMAZON-02,-120
RUBICONPROJECT,-4
SUCURI-SEC,-3
ASN-APPNEX,-2
