ORG,OCCURENCE
FACEBOOK,14.5
EDGECAST,2.5
SUCURI-SEC,3.0
CLOUDFLARENET,3.0
EBAY,6.0
AKAMAI-AS,3.5
Akamai International B.V.,0.5
