ORG,OCCURENCE
CLOUDFLARENET,2.0
EDGECAST,7.0
Taboola.com ltd,1.5
AKAMAI-AS,1.0
Akamai International B.V.,1.0
FASTLY,2.5
Yahoo! UK Services Limited,4.5
AS-PUBMATIC,2.5
Rtb House S.A.,1.5
BIDTELLECT,0.5
YAHOO-SP1,3.0
internet content provider,2.5
AMAZON-AES,3.0
Internet content provider,1.0
YAHOO-CHA,1.5
