ORG,OCCURENCE
EDGECAST,2.0
CLOUDFLARENET,1.5
RUBICONPROJECT,0.5
Adform A/S,2.0
SUCURI-SEC,0.5
APPLE-AUSTIN,1.0
AKAMAI-AS,0.5
CASALE-MEDIA,0.5
