ORG,OCCURENCE
GOOGLE,8
FACEBOOK,-2
APPLE-ENGINEERING,0
EDGECAST,1
MICROSOFT-CORP-MSN-AS-BLOCK,12
AMAZON-02,-4
AMAZON-AES,-22
,0
OMNITURE,4
