ORG,OCCURENCE
GOOGLE,-107
,0
EDGECAST,-13
AMAZON-02,-276
AKAMAI-AS,-18
Netic A/S,-2
CLOUDFLARENET,-2
AS-PUBMATIC,-14
"SpotXchange, INC",-5
AMAZON-AES,-18
SUCURI-SEC,-1
ASN-APPNEX,-3
