ORG,OCCURENCE
GOOGLE,-82
Jisc Services Limited,-22
AMAZON-02,-348
FACEBOOK,-8
MICROSOFT-CORP-MSN-AS-BLOCK,-35
AKAMAI-AS,-20
EDGECAST,-7
RUBICONPROJECT,-6
"SpotXchange, INC",-5
Netic A/S,-1
AS-PUBMATIC,-14
SUCURI-SEC,-2
CLOUDFLARENET,-8
AMAZON-AES,-18
TWITTER,-4
ASN-APPNEX,0
Adform A/S,-1
COGENT-174,-4
FASTLY,-572
,0
