ORG,OCCURENCE
GOOGLE,-92
Virgin Media Limited,-4
,0
MICROSOFT-CORP-MSN-AS-BLOCK,-4
CLOUDFLARENET,0
AKAMAI-AS,-4
EDGECAST,-14
FACEBOOK,-25
AMAZON-02,-66
TWITTER,-4
RUBICONPROJECT,-6
AMAZON-AES,-18
FASTLY,-8
AS-PUBMATIC,-12
SUCURI-SEC,-2
