ORG,OCCURENCE
FACEBOOK,2.0
EDGECAST,2.0
RUBICONPROJECT,1.0
"SpotXchange, INC",1.0
SUCURI-SEC,2.5
CLOUDFLARENET,2.0
Adform A/S,2.0
EBAY,30.5
AKAMAI-AS,3.0
LEVEL3,0.5
