ORG,OCCURENCE
FACEBOOK,0.5
CLOUDFLARENET,2.5
RUBICONPROJECT,1.0
"SpotXchange, INC",1.0
AKAMAI-AS,2.5
SUCURI-SEC,0.5
EBAY,19.5
